census_id,csdname,tier,county,website,matched_on
3543052,Orillia,Single Tier,Simcoe,http://www.orillia.ca/,name
3543023,Oro-Medonte,Lower Tier,Simcoe,http://www.oro-medonte.ca/,name
3518013,Oshawa,Lower Tier,Durham,https://www.oshawa.ca/en/index.aspx,name
3515005,Otonabee-South Monaghan,Lower Tier,Peterborough,http://www.osmtownship.ca/,name
3506008,Ottawa,Single Tier,Ottawa,http://ottawa.ca/en,name
3542059,Owen Sound,Lower Tier,Grey,http://www.owensound.ca/,name
3532,Oxford,Upper Tier,Oxford,http://www.oxfordcounty.ca/,name
3548013,Papineau-Cameron,Single Tier,Nipissing,http://www.papineaucameron.ca/,name
3549032,Parry Sound,Single Tier,Parry Sound,http://www.townofparrysound.com/,name
3521,Peel,Upper Tier,Peel,http://www.peelregion.ca/,name
3537001,Pelee,Single Tier,Essex,http://www.pelee.org/,name
3526028,Pelham,Lower Tier,Niagara,http://www.pelham.ca/,name
3547064,Pembroke,Single Tier,Renfrew,http://www.pembrokeontario.com/,name
3543072,Penetanguishene,Lower Tier,Simcoe,http://www.penetanguishene.ca/,name
3549014,Perry,Single Tier,Parry Sound,http://www.townshipofperry.ca/,name
3509021,Perth,Lower Tier,Lanark,http://www.perth.ca/en/index.aspx,name+tier
3531,Perth,Upper Tier,Perth,http://www.perthcounty.ca/,name+tier
3531030,Perth East,Lower Tier,Perth,https://www.pertheast.ca/en/index.aspx,name
3531013,Perth South,Lower Tier,Perth,http://www.perthsouth.ca/,name
3547076,Petawawa,Lower Tier,Renfrew,http://www.petawawa.ca/,name
3515014,Peterborough,Single Tier,Peterborough,http://www.peterborough.ca/,name+tier
3515,Peterborough,Upper Tier,Peterborough,http://www.ptbocounty.ca/en/index.aspx,name+tier
3538019,Petrolia,Lower Tier,Lambton,http://town.petrolia.on.ca/,name
3518001,Pickering,Lower Tier,Durham,https://www.pickering.ca/en/index.aspx,name
3560049,Pickle Lake,Single Tier,Kenora,https://picklelake.ca/,url-override
