census_id,csdname,race,office,district_scope,district,n_candidates,retrieved
3529006,Brantford,ward,Councillor,Ward,Ward 5,5,2026-08-11
3524002,Burlington,ward,"Councillor, City and Regional",Ward,Ward 6,5,2026-08-11
3530010,Cambridge,mayor,Mayor,At-large,At-large,5,2026-08-11
3530010,Cambridge,regional councillor,"Councillor, Regional",At-large,At-large,5,2026-08-11
3530010,Cambridge,ward,"Councillor, Ward",Ward,Ward 7,5,2026-08-11
3519070,Georgina,ward,"Councillor, Ward",Ward,Ward 2,5,2026-08-11
3519070,Georgina,ward,"Councillor, Ward",Ward,Ward 3,5,2026-08-11
3523008,Guelph,ward,Councillor,Ward,Ward 3,5,2026-08-11
3523008,Guelph,ward,Councillor,Ward,Ward 4,5,2026-08-11
3523008,Guelph,ward,Councillor,Ward,Ward 6,5,2026-08-11
3528018,Haldimand County,ward,Councillor,Ward,Ward 7,5,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 4,5,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 9,5,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 15,5,2026-08-11
3510010,Kingston,ward,Councillor,Ward,District 10 - Sydenham,5,2026-08-11
3530013,Kitchener,ward,"Councillor, Ward",Ward,Ward 3,5,2026-08-11
3539036,London,ward,Councillor,Ward,Ward 3,5,2026-08-11
3539036,London,ward,Councillor,Ward,Ward 9,5,2026-08-11
3539036,London,ward,Councillor,Ward,Ward 10,5,2026-08-11
3524009,Milton,regional councillor,"Councillor, Regional",Ward,Ward 4,5,2026-08-11
3524009,Milton,ward,"Councillor, Town",Ward,Ward 4,5,2026-08-11
3524001,Oakville,ward,"Councillor, Town",Ward,Ward 5,5,2026-08-11
3518013,Oshawa,ward,"Councillor, City",Ward,Ward 1,5,2026-08-11
3518013,Oshawa,ward,"Councillor, City",Ward,Ward 5,5,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 14 Somerset,5,2026-08-11
3515014,Peterborough,ward,Councillor,Ward,Monaghan,5,2026-08-11
3518001,Pickering,mayor,Mayor,At-large,At-large,5,2026-08-11
3518001,Pickering,ward,"Councillor, City",Ward,Ward 2,5,2026-08-11
3526053,St. Catharines,ward,"Councillor, City",Ward,Ward 2,5,2026-08-11
3526053,St. Catharines,ward,"Councillor, City",Ward,Ward 3,5,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 8,5,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 23,5,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 25,5,2026-08-11
3530016,Waterloo,ward,"Councillor, Ward",Ward,Ward 2,5,2026-08-11
3530016,Waterloo,ward,"Councillor, Ward",Ward,Ward 5,5,2026-08-11
3518009,Whitby,ward,"Councillor, Local",Ward,West Ward 2,5,2026-08-11
3537039,Windsor,mayor,Mayor,At-large,At-large,5,2026-08-11
3518005,Ajax,mayor,Mayor,At-large,At-large,4,2026-08-11
3518005,Ajax,regional councillor,"Councillor, Regional",Ward,Ward 2,4,2026-08-11
3519046,Aurora,ward,"Councillor, Ward",Ward,Ward 2,4,2026-08-11
3519046,Aurora,ward,"Councillor, Ward",Ward,Ward 5,4,2026-08-11
3543042,Barrie,ward,Councillor,Ward,Ward 2,4,2026-08-11
3543042,Barrie,ward,Councillor,Ward,Ward 3,4,2026-08-11
3529006,Brantford,ward,Councillor,Ward,Ward 1,4,2026-08-11
3529006,Brantford,ward,Councillor,Ward,Ward 2,4,2026-08-11
3524002,Burlington,mayor,Mayor,At-large,At-large,4,2026-08-11
3524002,Burlington,ward,"Councillor, City and Regional",Ward,Ward 2,4,2026-08-11
3524002,Burlington,ward,"Councillor, City and Regional",Ward,Ward 3,4,2026-08-11
3530010,Cambridge,ward,"Councillor, Ward",Ward,Ward 6,4,2026-08-11
3519070,Georgina,ward,"Councillor, Ward",Ward,Ward 4,4,2026-08-11
3553005,Greater Sudbury / Grand Sudbury,ward,Councillor,Ward,Ward 2,4,2026-08-11
3523008,Guelph,mayor,Mayor,At-large,At-large,4,2026-08-11
3528018,Haldimand County,mayor,Mayor,At-large,At-large,4,2026-08-11
3528018,Haldimand County,ward,Councillor,Ward,Ward 2,4,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 7,4,2026-08-11
3543017,Innisfil,ward,Councillor,Ward,Ward 3,4,2026-08-11
3510010,Kingston,mayor,Mayor,At-large,At-large,4,2026-08-11
3510010,Kingston,ward,Councillor,Ward,District 2 - Loyalist-Cataraqui,4,2026-08-11
3510010,Kingston,ward,Councillor,Ward,District 12 - Pittsburgh,4,2026-08-11
3530013,Kitchener,mayor,Mayor,At-large,At-large,4,2026-08-11
3530013,Kitchener,ward,"Councillor, Ward",Ward,Ward 4,4,2026-08-11
3539036,London,ward,Councillor,Ward,Ward 5,4,2026-08-11
3539036,London,ward,Councillor,Ward,Ward 6,4,2026-08-11
3519036,Markham,ward,"Councillor, Ward",Ward,Ward 7,4,2026-08-11
3524009,Milton,regional councillor,"Councillor, Regional",Ward,Ward 2,4,2026-08-11
3524009,Milton,regional councillor,"Councillor, Regional",Ward,Ward 3,4,2026-08-11
3524009,Milton,ward,"Councillor, Town",Ward,Ward 1,4,2026-08-11
3521005,Mississauga,ward,Councillor,Ward,Ward 3,4,2026-08-11
3521005,Mississauga,ward,Councillor,Ward,Ward 9,4,2026-08-11
3526043,Niagara Falls,mayor,Mayor,At-large,At-large,4,2026-08-11
3524001,Oakville,mayor,Mayor,At-large,At-large,4,2026-08-11
3524001,Oakville,regional councillor,"Councillor, Town and Region of Halton",Ward,Ward 4,4,2026-08-11
3524001,Oakville,regional councillor,"Councillor, Town and Region of Halton",Ward,Ward 7,4,2026-08-11
3518013,Oshawa,regional councillor,"Councillor, Regional and City",Ward,Ward 4,4,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 9 Knoxdale-Merivale,4,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 23 Kanata South,4,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 24 Barrhaven East,4,2026-08-11
3515014,Peterborough,ward,Councillor,Ward,Otonabee,4,2026-08-11
3515014,Peterborough,ward,Councillor,Ward,Town,4,2026-08-11
3515014,Peterborough,ward,Councillor,Ward,Ashburnham,4,2026-08-11
3519038,Richmond Hill,ward,"Councillor, Ward",Ward,Ward 2,4,2026-08-11
3519038,Richmond Hill,ward,"Councillor, Ward",Ward,Ward 4,4,2026-08-11
3519038,Richmond Hill,ward,"Councillor, Ward",Ward,Ward 5,4,2026-08-11
3538030,Sarnia,mayor,Mayor,At-large,At-large,4,2026-08-11
3526053,St. Catharines,mayor,Mayor,At-large,At-large,4,2026-08-11
3526053,St. Catharines,ward,"Councillor, City",Ward,Ward 5,4,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 3,4,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 9,4,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 18,4,2026-08-11
3519028,Vaughan,ward,"Councillor, Ward",Ward,Ward 1,4,2026-08-11
3530016,Waterloo,regional councillor,"Councillor, Regional",At-large,At-large,4,2026-08-11
3537039,Windsor,ward,Councillor,Ward,Ward 5,4,2026-08-11
3537039,Windsor,ward,Councillor,Ward,Ward 6,4,2026-08-11
3519046,Aurora,mayor,Mayor,At-large,At-large,3,2026-08-11
3519046,Aurora,ward,"Councillor, Ward",Ward,Ward 3,3,2026-08-11
3543042,Barrie,mayor,Mayor,At-large,At-large,3,2026-08-11
3543042,Barrie,ward,Councillor,Ward,Ward 9,3,2026-08-11
3521010,Brampton,regional councillor,"Councillor, Regional",Ward-pair,"Wards 1, 5",3,2026-08-11
3524002,Burlington,ward,"Councillor, City and Regional",Ward,Ward 1,3,2026-08-11
3524002,Burlington,ward,"Councillor, City and Regional",Ward,Ward 5,3,2026-08-11
3530010,Cambridge,ward,"Councillor, Ward",Ward,Ward 4,3,2026-08-11
3536020,Chatham-Kent,ward,Councillor,Ward,Ward 4 - North West Kent,3,2026-08-11
3518017,Clarington,ward,"Councillor, Local",Ward,Ward 2,3,2026-08-11
3553005,Greater Sudbury / Grand Sudbury,ward,Councillor,Ward,Ward 8,3,2026-08-11
3553005,Greater Sudbury / Grand Sudbury,ward,Councillor,Ward,Ward 10,3,2026-08-11
3528018,Haldimand County,ward,Councillor,Ward,Ward 4,3,2026-08-11
3528018,Haldimand County,ward,Councillor,Ward,Ward 5,3,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 6,3,2026-08-11
3543017,Innisfil,deputy mayor,Deputy Mayor,At-large,At-large,3,2026-08-11
3543017,Innisfil,ward,Councillor,Ward,Ward 1,3,2026-08-11
3543017,Innisfil,ward,Councillor,Ward,Ward 2,3,2026-08-11
3543017,Innisfil,ward,Councillor,Ward,Ward 6,3,2026-08-11
3510010,Kingston,ward,Councillor,Ward,District 1 - Countryside,3,2026-08-11
3510010,Kingston,ward,Councillor,Ward,District 7 - Kingscourt-Rideau,3,2026-08-11
3510010,Kingston,ward,Councillor,Ward,District 8 - Meadowbrook-Strathcona,3,2026-08-11
3510010,Kingston,ward,Councillor,Ward,District 11 - King's Town,3,2026-08-11
3530013,Kitchener,ward,"Councillor, Ward",Ward,Ward 2,3,2026-08-11
3539036,London,ward,Councillor,Ward,Ward 1,3,2026-08-11
3539036,London,ward,Councillor,Ward,Ward 12,3,2026-08-11
3519036,Markham,ward,"Councillor, Ward",Ward,Ward 2,3,2026-08-11
3519036,Markham,ward,"Councillor, Ward",Ward,Ward 5,3,2026-08-11
3521005,Mississauga,ward,Councillor,Ward,Ward 8,3,2026-08-11
3521005,Mississauga,ward,Councillor,Ward,Ward 10,3,2026-08-11
3543007,New Tecumseth,ward,Councillor,Ward,Ward 6,3,2026-08-12
3543007,New Tecumseth,ward,Councillor,Ward,Ward 7,3,2026-08-12
3548044,North Bay,mayor,Mayor,At-large,At-large,3,2026-08-12
3524001,Oakville,regional councillor,"Councillor, Town and Region of Halton",Ward,Ward 2,3,2026-08-11
3524001,Oakville,regional councillor,"Councillor, Town and Region of Halton",Ward,Ward 5,3,2026-08-11
3524001,Oakville,ward,"Councillor, Town",Ward,Ward 1,3,2026-08-11
3524001,Oakville,ward,"Councillor, Town",Ward,Ward 2,3,2026-08-11
3524001,Oakville,ward,"Councillor, Town",Ward,Ward 7,3,2026-08-11
3518013,Oshawa,ward,"Councillor, City",Ward,Ward 2,3,2026-08-11
3518013,Oshawa,ward,"Councillor, City",Ward,Ward 3,3,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 7 Bay,3,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 10 Gloucester-Southgate,3,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 15 Kitchissippi,3,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 17 Capital,3,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 18 Alta Vista,3,2026-08-11
3519038,Richmond Hill,regional councillor,"Councillor, Regional and Local",At-large,At-large,3,2026-08-11
3526053,St. Catharines,ward,"Councillor, City",Ward,Ward 1,3,2026-08-11
3526053,St. Catharines,ward,"Councillor, City",Ward,Ward 6,3,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 7,3,2026-08-11
3520005,Toronto,ward,Councillor,Ward,Ward 16,3,2026-08-11
3518009,Whitby,mayor,Mayor,At-large,At-large,3,2026-08-11
3518009,Whitby,regional councillor,"Councillor, Regional",Ward,North Ward 1,3,2026-08-11
3518009,Whitby,ward,"Councillor, Local",Ward,North Ward 1,3,2026-08-11
3518009,Whitby,ward,"Councillor, Local",Ward,East Ward 4,3,2026-08-11
3537039,Windsor,ward,Councillor,Ward,Ward 2,3,2026-08-11
3518005,Ajax,regional councillor,"Councillor, Regional",Ward,Ward 1,2,2026-08-11
3519046,Aurora,ward,"Councillor, Ward",Ward,Ward 1,2,2026-08-11
3519046,Aurora,ward,"Councillor, Ward",Ward,Ward 4,2,2026-08-11
3519046,Aurora,ward,"Councillor, Ward",Ward,Ward 6,2,2026-08-11
3543042,Barrie,ward,Councillor,Ward,Ward 5,2,2026-08-11
3543042,Barrie,ward,Councillor,Ward,Ward 8,2,2026-08-11
3543042,Barrie,ward,Councillor,Ward,Ward 10,2,2026-08-11
3521010,Brampton,regional councillor,"Councillor, Regional",Ward-pair,"Wards 3, 4",2,2026-08-11
3524002,Burlington,ward,"Councillor, City and Regional",Ward,Ward 4,2,2026-08-11
3530010,Cambridge,ward,"Councillor, Ward",Ward,Ward 1,2,2026-08-11
3530010,Cambridge,ward,"Councillor, Ward",Ward,Ward 2,2,2026-08-11
3530010,Cambridge,ward,"Councillor, Ward",Ward,Ward 5,2,2026-08-11
3530010,Cambridge,ward,"Councillor, Ward",Ward,Ward 8,2,2026-08-11
3518017,Clarington,mayor,Mayor,At-large,At-large,2,2026-08-11
3518017,Clarington,regional councillor,"Councillor, Regional",Ward-pair,Wards 1 and 2,2,2026-08-11
3518017,Clarington,regional councillor,"Councillor, Regional",Ward-pair,Wards 3 and 4,2,2026-08-11
3518017,Clarington,ward,"Councillor, Local",Ward,Ward 1,2,2026-08-11
3518017,Clarington,ward,"Councillor, Local",Ward,Ward 3,2,2026-08-11
3518017,Clarington,ward,"Councillor, Local",Ward,Ward 4,2,2026-08-11
3519070,Georgina,mayor,Mayor,At-large,At-large,2,2026-08-11
3519070,Georgina,regional councillor,"Councillor, Regional",At-large,At-large,2,2026-08-11
3519070,Georgina,ward,"Councillor, Ward",Ward,Ward 1,2,2026-08-11
3519070,Georgina,ward,"Councillor, Ward",Ward,Ward 5,2,2026-08-11
3553005,Greater Sudbury / Grand Sudbury,ward,Councillor,Ward,Ward 3,2,2026-08-11
3553005,Greater Sudbury / Grand Sudbury,ward,Councillor,Ward,Ward 4,2,2026-08-11
3553005,Greater Sudbury / Grand Sudbury,ward,Councillor,Ward,Ward 6,2,2026-08-11
3553005,Greater Sudbury / Grand Sudbury,ward,Councillor,Ward,Ward 11,2,2026-08-11
3553005,Greater Sudbury / Grand Sudbury,ward,Councillor,Ward,Ward 12,2,2026-08-11
3528018,Haldimand County,ward,Councillor,Ward,Ward 1,2,2026-08-11
3528018,Haldimand County,ward,Councillor,Ward,Ward 3,2,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 1,2,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 8,2,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 11,2,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 12,2,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 13,2,2026-08-11
3525005,Hamilton,ward,Councillor,Ward,Ward 14,2,2026-08-11
3543017,Innisfil,mayor,Mayor,At-large,At-large,2,2026-08-11
3543017,Innisfil,ward,Councillor,Ward,Ward 4,2,2026-08-11
3543017,Innisfil,ward,Councillor,Ward,Ward 5,2,2026-08-11
3510010,Kingston,ward,Councillor,Ward,District 3 - Collins-Bayridge,2,2026-08-11
3510010,Kingston,ward,Councillor,Ward,District 4 - Lakeside,2,2026-08-11
