census_id,csdname,race,office,district_scope,district,n_candidates,retrieved
3543007,New Tecumseth,ward,Councillor,Ward,Ward 1,1,2026-08-12
3543007,New Tecumseth,ward,Councillor,Ward,Ward 4,1,2026-08-12
3524001,Oakville,regional councillor,"Councillor, Town and Region of Halton",Ward,Ward 1,1,2026-08-11
3524001,Oakville,regional councillor,"Councillor, Town and Region of Halton",Ward,Ward 3,1,2026-08-11
3524001,Oakville,ward,"Councillor, Town",Ward,Ward 3,1,2026-08-11
3524001,Oakville,ward,"Councillor, Town",Ward,Ward 6,1,2026-08-11
3518013,Oshawa,regional councillor,"Councillor, Regional and City",Ward,Ward 3,1,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 4 Kanata North,1,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 8 College,1,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 16 River,1,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 20 Osgoode,1,2026-08-11
3506008,Ottawa,ward,Councillor,Ward,Ward 21 Rideau-Jock,1,2026-08-11
3518001,Pickering,regional councillor,"Councillor, Regional",Ward,Ward 1,1,2026-08-11
3518001,Pickering,regional councillor,"Councillor, Regional",Ward,Ward 3,1,2026-08-11
3558004,Thunder Bay,ward,"Councillor, Ward",Ward,McIntyre,1,2026-08-11
3558004,Thunder Bay,ward,"Councillor, Ward",Ward,Neebing,1,2026-08-11
3558004,Thunder Bay,ward,"Councillor, Ward",Ward,Red River,1,2026-08-11
3558004,Thunder Bay,ward,"Councillor, Ward",Ward,Westfort,1,2026-08-11
3519028,Vaughan,mayor,Mayor,At-large,At-large,1,2026-08-11
3519028,Vaughan,ward,"Councillor, Ward",Ward,Ward 2,1,2026-08-11
3519028,Vaughan,ward,"Councillor, Ward",Ward,Ward 3,1,2026-08-11
3519028,Vaughan,ward,"Councillor, Ward",Ward,Ward 4,1,2026-08-11
3519028,Vaughan,ward,"Councillor, Ward",Ward,Ward 5,1,2026-08-11
3530016,Waterloo,mayor,Mayor,At-large,At-large,1,2026-08-11
3530016,Waterloo,ward,"Councillor, Ward",Ward,Ward 1,1,2026-08-11
3530016,Waterloo,ward,"Councillor, Ward",Ward,Ward 7,1,2026-08-11
3537039,Windsor,ward,Councillor,Ward,Ward 1,1,2026-08-11
3537039,Windsor,ward,Councillor,Ward,Ward 9,1,2026-08-11
