census_id,csdname,provider,pop_2021,election_type,ward_type,block_vote,max_votes_max,revised,revision_source,office,deputy_mayor,district_scope,districts,n_districts,seats_per_district,max_votes,source_url
3524009,Milton,Leger,132979,Ward,MMD,FALSE,1,FALSE,,"Councillor, Town",FALSE,Ward,Wards 1-4,4,1,1,https://www.milton.ca/en/news/nominations-for-the-2026-municipal-election-open-may-1.aspx
3521005,Mississauga,Leger,717961,Ward,SMD,FALSE,1,FALSE,,Councillor,FALSE,Ward,Wards 1-11,11,1,1,https://mississaugavotes.ca/2026-municipal-election/for-voters/whos-running/
3526043,Niagara Falls,EveryAnswer,94415,At-Large,N/A,TRUE,8,FALSE,,Councillor,FALSE,At-large,At-large,1,8,8,https://niagarafalls.ca/city-government/elections/2026-municipal-election/
3524001,Oakville,Leger,213759,Ward,MMD,FALSE,1,FALSE,,"Councillor, Town",FALSE,Ward,Wards 1-7,7,1,1,https://www.oakville.ca/town-hall/elections/voters/offices-to-be-elected/
3524001,Oakville,Leger,213759,Ward,MMD,FALSE,1,FALSE,,"Councillor, Town and Region of Halton",FALSE,Ward,Wards 1-7,7,1,1,https://www.oakville.ca/town-hall/elections/voters/offices-to-be-elected/
3518013,Oshawa,Leger,175383,Ward,MMD,FALSE,1,FALSE,,"Councillor, Regional and City",FALSE,Ward,Wards 1-5,5,1,1,https://www.oshawa.ca/city-hall/elections/registered-candidates/
3518013,Oshawa,Leger,175383,Ward,MMD,FALSE,1,FALSE,,"Councillor, City",FALSE,Ward,Wards 1-5,5,1,1,https://www.oshawa.ca/city-hall/elections/registered-candidates/
3506008,Ottawa,Leger,1017449,Ward,SMD,FALSE,1,FALSE,,Councillor,FALSE,Ward,Wards 1-24,24,1,1,https://ottawa.ca/en/city-hall/elections/voters/voting-mayor-and-city-councillor
3515014,Peterborough,EveryAnswer,83651,Ward,MMD,TRUE,2,FALSE,,Councillor,FALSE,Ward,Otonabee;Monaghan;Town;Ashburnham;Northcrest,5,2,2,https://www.peterborough.ca/news/posts/municipal-election-nominations-open-may-1/
3518001,Pickering,EveryAnswer,99186,Ward,MMD,FALSE,1,FALSE,,"Councillor, Regional",FALSE,Ward,Wards 1-3,3,1,1,https://www.pickering.ca/council-city-administration/elections/offices-to-be-elected/
3518001,Pickering,EveryAnswer,99186,Ward,MMD,FALSE,1,FALSE,,"Councillor, City",FALSE,Ward,Wards 1-3,3,1,1,https://www.pickering.ca/council-city-administration/elections/offices-to-be-elected/
3519038,Richmond Hill,Leger,202022,Hybrid,Mixed,TRUE,2,FALSE,,"Councillor, Regional and Local",FALSE,At-large,At-large,1,2,2,https://www.richmondhill.ca/en/living-here/election-candidates.aspx
3519038,Richmond Hill,Leger,202022,Hybrid,Mixed,TRUE,2,FALSE,,"Councillor, Ward",FALSE,Ward,Wards 1-6,6,1,1,https://www.richmondhill.ca/en/living-here/election-candidates.aspx
3538030,Sarnia,EveryAnswer,72047,At-Large,N/A,TRUE,4,FALSE,,"Councillor, City",FALSE,At-large,At-large,1,4,4,https://www.sarnia.ca/city-government/elections/2026-election/unofficial-list-of-candidates/
3538030,Sarnia,EveryAnswer,72047,At-Large,N/A,TRUE,4,FALSE,,"Councillor, City-County",FALSE,At-large,At-large,1,4,4,https://www.sarnia.ca/city-government/elections/2026-election/unofficial-list-of-candidates/
3526053,St. Catharines,Leger,136803,Hybrid,MMD,TRUE,2,FALSE,,"Councillor, City",FALSE,Ward,Wards 1-6,6,2,2,https://www.stcatharines.ca/council-and-administration/mayor-and-council/ward-councillors/
3558004,Thunder Bay,Leger,108843,Hybrid,Mixed,TRUE,5,FALSE,,"Councillor, At-Large",FALSE,At-large,At-large,1,5,5,https://www.thunderbay.ca/en/city-hall/2026-municipal-election.aspx#At-Large-Councillor-Five-5-to-be-elected
3558004,Thunder Bay,Leger,108843,Hybrid,Mixed,TRUE,5,FALSE,,"Councillor, Ward",FALSE,Ward,Current River;McIntyre;McKellar;Neebing;Northwood;Red River;Westfort,7,1,1,https://www.thunderbay.ca/en/city-hall/2026-municipal-election.aspx#At-Large-Councillor-Five-5-to-be-elected
3556027,Timmins,EveryAnswer,41145,Ward,Mixed,TRUE,4,FALSE,,Councillor,FALSE,Ward,Ward 5,1,4,4,https://timmins.civicweb.net/filepro/documents/26043/?preview=216073
3556027,Timmins,EveryAnswer,41145,Ward,Mixed,TRUE,4,FALSE,,Councillor,FALSE,Ward,Wards 1-4,4,1,1,https://timmins.civicweb.net/filepro/documents/26043/?preview=216073
3520005,Toronto,Leger,2794356,Ward,SMD,FALSE,1,FALSE,,Councillor,FALSE,Ward,Wards 1-25,25,1,1,https://www.toronto.ca/city-government/elections/candidate-list/
3519028,Vaughan,Leger,323103,Hybrid,Mixed,TRUE,4,FALSE,,"Councillor, Local and Regional",FALSE,At-large,At-large,1,4,4,https://www.vaughan.ca/news/what-you-need-know-about-2026-municipal-election
3519028,Vaughan,Leger,323103,Hybrid,Mixed,TRUE,4,FALSE,,"Councillor, Ward",FALSE,Ward,Wards 1-5,5,1,1,https://www.vaughan.ca/news/what-you-need-know-about-2026-municipal-election
3530016,Waterloo,Leger,121436,Ward,SMD,TRUE,2,FALSE,,"Councillor, Ward",FALSE,Ward,Wards 1-7,7,1,1,https://www.waterloo.ca/council-and-committees/municipal-elections/find-election-candidates/
3530016,Waterloo,Leger,121436,Ward,SMD,TRUE,2,FALSE,,"Councillor, Regional",FALSE,At-large,At-large,1,2,2,https://www.waterloo.ca/council-and-committees/municipal-elections/find-election-candidates/
3518009,Whitby,Leger,138501,Ward,SMD,FALSE,1,TRUE,https://www.whitby.ca/news/posts/whitby-council-votes-to-elect-regional-councillors-by-ward/,"Councillor, Regional",FALSE,Ward,Wards 1-4,4,1,1,https://www.whitby.ca/news/posts/whitby-council-votes-to-elect-regional-councillors-by-ward/; https://planyourvote.voterview.ca/candidate-list
3518009,Whitby,Leger,138501,Ward,SMD,FALSE,1,TRUE,https://www.whitby.ca/news/posts/whitby-council-votes-to-elect-regional-councillors-by-ward/,"Councillor, Local",FALSE,Ward,Wards 1-4,4,1,1,https://www.whitby.ca/news/posts/whitby-council-votes-to-elect-regional-councillors-by-ward/; https://planyourvote.voterview.ca/candidate-list
3537039,Windsor,Leger,229660,Ward,SMD,FALSE,1,FALSE,,Councillor,FALSE,Ward,Wards 1-10,10,1,1,https://citywindsor.ca/city-hall/municipal-election/who-is-running/councillor-ward-2
