census_id,csdname,county,system,board_number,board_name,split,n_sources,evidence
3556056,Moonbeam,Cochrane,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3556056,Moonbeam,Cochrane,public,B28002,District School Board Ontario North East,0,1,county-inference
3556106,Moosonee,Cochrane,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3556106,Moosonee,Cochrane,public,B28002,District School Board Ontario North East,0,1,county-inference
3559031,Morley,Rainy River,catholic,B29041,Northwest Catholic District School Board,0,1,schools
3559031,Morley,Rainy River,public,B28053,Rainy River District School Board,0,1,county-inference
3540050,Morris-Turnberry,Huron,catholic,B67016,Huron Perth Catholic District School Board,0,3,crawl|harvest|sections
3540050,Morris-Turnberry,Huron,public,B66010,Avon Maitland District School Board,0,3,crawl|harvest|sections
3522016,Mulmur,Dufferin,catholic,B67083,Dufferin-Peel Catholic District School Board,0,1,county-inference
3522016,Mulmur,Dufferin,public,B66117,Upper Grand District School Board,0,1,schools
3544053,Muskoka Lakes,Muskoka,catholic,B67091,Simcoe Muskoka Catholic District School Board,0,1,county-inference
3544053,Muskoka Lakes,Muskoka,public,B66087,Trillium Lakelands District School Board,0,1,schools
3558001,Neebing,Thunder Bay,public,B28045,Keewatin-Patricia District School Board,1,1,schools
