census_id,csdname,county,system,board_number,board_name,split,n_sources,evidence
3507017,Front of Yonge,Leeds and Grenville,public,B66192,Upper Canada District School Board,0,1,schools
3510005,Frontenac Islands,Frontenac,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,0,1,schools
3510005,Frontenac Islands,Frontenac,public,B66206,Limestone District School Board,0,1,schools
3507024,Gananoque,Leeds and Grenville,catholic,B67172,Catholic District School Board of Eastern Ontario,0,3,crawl|schools|sections
3507024,Gananoque,Leeds and Grenville,public,B66192,Upper Canada District School Board,0,2,crawl|schools
3554066,Gauthier,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3554066,Gauthier,Timiskaming,public,B28002,District School Board Ontario North East,0,1,county-inference
3544065,Georgian Bay,Muskoka,catholic,B67091,Simcoe Muskoka Catholic District School Board,0,1,county-inference
3544065,Georgian Bay,Muskoka,public,B28037,Near North District School Board,1,2,harvest|schools
3544065,Georgian Bay,Muskoka,public,B66087,Trillium Lakelands District School Board,1,2,harvest|schools
3542053,Georgian Bluffs,Grey,catholic,B67008,Bruce-Grey Catholic District School Board,0,2,crawl|harvest
3542053,Georgian Bluffs,Grey,public,B66001,Bluewater District School Board,0,3,crawl|harvest|sections
3519070,Georgina,York,catholic,B67075,York Catholic District School Board,0,4,crawl|harvest|schools|sections
3519070,Georgina,York,public,B66095,York Region District School Board,0,4,crawl|harvest|schools|sections
3558012,Gillies,Thunder Bay,public,B28061,Lakehead District School Board,0,1,schools
3540028,Goderich,Huron,catholic,B67016,Huron Perth Catholic District School Board,0,1,schools
3540028,Goderich,Huron,public,B66010,Avon Maitland District School Board,0,3,harvest|schools|sections
3551027,Gordon/Barrie Island,Manitoulin,public,B28029,Rainbow District School Board,0,1,county-inference
3551026,Gore Bay,Manitoulin,public,B28029,Rainbow District School Board,0,1,schools
3522010,Grand Valley,Dufferin,catholic,B67083,Dufferin-Peel Catholic District School Board,0,1,county-inference
3522010,Grand Valley,Dufferin,public,B66117,Upper Grand District School Board,0,1,county-inference
3544002,Gravenhurst,Muskoka,catholic,B67091,Simcoe Muskoka Catholic District School Board,0,1,county-inference
3544002,Gravenhurst,Muskoka,public,B66087,Trillium Lakelands District School Board,0,1,schools
3547008,Greater Madawaska,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,0,4,crawl|harvest|schools|sections
3547008,Greater Madawaska,Renfrew,public,B66214,Renfrew County District School Board,0,2,crawl|harvest
3511015,Greater Napanee,Lennox and Addington,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,0,1,schools
3511015,Greater Napanee,Lennox and Addington,public,B66206,Limestone District School Board,0,3,crawl|schools|sections
3553005,Greater Sudbury / Grand Sudbury,Sudbury,catholic,B29033,Sudbury Catholic District School Board,0,2,harvest|schools
3553005,Greater Sudbury / Grand Sudbury,Sudbury,public,B28029,Rainbow District School Board,0,2,harvest|schools
3558075,Greenstone,Thunder Bay,catholic,B29076,Superior North Catholic District School Board,0,1,schools
3558075,Greenstone,Thunder Bay,public,B28070,Superior-Greenstone District School Board,0,1,schools
3542015,Grey Highlands,Grey,catholic,B67008,Bruce-Grey Catholic District School Board,0,2,crawl|sections
3542015,Grey Highlands,Grey,public,B66001,Bluewater District School Board,0,3,crawl|schools|sections
3526065,Grimsby,Niagara,catholic,B67156,Niagara Catholic District School Board,0,3,crawl|schools|sections
3526065,Grimsby,Niagara,public,B66150,District School Board of Niagara,0,3,crawl|schools|sections
3523008,Guelph,Wellington,catholic,B67130,Wellington Catholic District School Board,0,2,harvest|schools
3523008,Guelph,Wellington,public,B66117,Upper Grand District School Board,0,2,harvest|schools
3523009,Guelph/Eramosa,Wellington,catholic,B67130,Wellington Catholic District School Board,0,3,crawl|schools|sections
3523009,Guelph/Eramosa,Wellington,public,B66117,Upper Grand District School Board,0,3,crawl|schools|sections
3528018,Haldimand County,Haldimand,catholic,B67164,Brant Haldimand Norfolk Catholic District School Board,0,3,crawl|schools|sections
3528018,Haldimand County,Haldimand,public,B66168,Grand Erie District School Board,0,4,crawl|harvest|schools|sections
3524015,Halton Hills,Halton,catholic,B67113,Halton Catholic District School Board,0,4,crawl|harvest|schools|sections
3524015,Halton Hills,Halton,public,B66133,Halton District School Board,0,4,crawl|harvest|schools|sections
3514019,Hamilton,Northumberland,catholic,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,0,1,county-inference
3525005,Hamilton,Hamilton,catholic,B67121,Hamilton-Wentworth Catholic District School Board,0,3,harvest|override|schools
3514019,Hamilton,Northumberland,public,B66079,Kawartha Pine Ridge District School Board,0,3,crawl|schools|sections
3525005,Hamilton,Hamilton,public,B66141,Hamilton-Wentworth District School Board,0,3,harvest|override|schools
3542029,Hanover,Grey,catholic,B67008,Bruce-Grey Catholic District School Board,0,3,crawl|schools|sections
3542029,Hanover,Grey,public,B66001,Bluewater District School Board,0,2,crawl|schools
