census_id,csdname,system,board_number,reason,source
3525005,Hamilton,public,B66141,"Clerk labels trustee races only by system (""Ward 3 - English Public""), never by board. Hamilton is a single-tier city wholly inside HWDSB.",https://www.hamilton.ca/city-council/municipal-election/candidates-third-party-advertisers/certified-candidates
3525005,Hamilton,catholic,B67121,"Same page, same reason; the Catholic races are labelled ""English Separate"".",https://www.hamilton.ca/city-council/municipal-election/candidates-third-party-advertisers/certified-candidates
