census_id,csdname,county,system,board_number,board_name,n_schools,enrolment
3547048,Renfrew,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,5,1355
3547048,Renfrew,Renfrew,public,B66214,Renfrew County District School Board,5,920
3519038,Richmond Hill,York,catholic,B67075,York Catholic District School Board,15,6890
3519038,Richmond Hill,York,public,B66095,York Region District School Board,33,20485
3507040,Rideau Lakes,Leeds and Grenville,public,B66192,Upper Canada District School Board,5,1145
3502048,Russell,Prescott and Russell,catholic,B67172,Catholic District School Board of Eastern Ontario,3,1300
3502048,Russell,Prescott and Russell,public,B66192,Upper Canada District School Board,3,940
3552023,Sables-Spanish Rivers,Sudbury,catholic,B29025,Huron-Superior Catholic District School Board,1,135
3552023,Sables-Spanish Rivers,Sudbury,public,B28029,Rainbow District School Board,1,100
3538030,Sarnia,Lambton,catholic,B67040,St Clair Catholic District School Board,8,3960
3538030,Sarnia,Lambton,public,B66036,Lambton Kent District School Board,16,6980
3541045,Saugeen Shores,Bruce,catholic,B67008,Bruce-Grey Catholic District School Board,1,290
3541045,Saugeen Shores,Bruce,public,B66001,Bluewater District School Board,5,2500
3557061,Sault Ste. Marie,Algoma,catholic,B29025,Huron-Superior Catholic District School Board,8,3520
3557061,Sault Ste. Marie,Algoma,public,B28010,Algoma District School Board,26,7845
3558051,Schreiber,Thunder Bay,catholic,B29076,Superior North Catholic District School Board,1,85
3558051,Schreiber,Thunder Bay,public,B28070,Superior-Greenstone District School Board,1,0
3518020,Scugog,Durham,catholic,B67105,Durham Catholic District School Board,1,230
3518020,Scugog,Durham,public,B66060,Durham District School Board,4,2235
3549003,Seguin,Parry Sound,public,B28037,Near North District School Board,1,210
3543015,Severn,Simcoe,public,B66109,Simcoe County District School Board,1,555
3522021,Shelburne,Dufferin,public,B66117,Upper Grand District School Board,4,2260
3558028,Shuniah,Thunder Bay,public,B28061,Lakehead District School Board,2,380
3560034,Sioux Lookout,Kenora,catholic,B29041,Northwest Catholic District School Board,1,270
3560034,Sioux Lookout,Kenora,public,B28045,Keewatin-Patricia District School Board,2,775
3560008,Sioux Narrows-Nestor Falls,Kenora,public,B28045,Keewatin-Patricia District School Board,1,0
3509004,Smiths Falls,Lanark,catholic,B67172,Catholic District School Board of Eastern Ontario,4,540
3509004,Smiths Falls,Lanark,public,B66192,Upper Canada District School Board,4,1760
3556048,Smooth Rock Falls,Cochrane,public,B28002,District School Board Ontario North East,1,0
3541004,South Bruce,Bruce,catholic,B67008,Bruce-Grey Catholic District School Board,3,590
3541004,South Bruce,Bruce,public,B66001,Bluewater District School Board,2,310
3501020,South Dundas,"Stormont, Dundas and Glengarry",catholic,B67172,Catholic District School Board of Eastern Ontario,1,245
3501020,South Dundas,"Stormont, Dundas and Glengarry",public,B66192,Upper Canada District School Board,4,810
3510020,South Frontenac,Frontenac,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,1,245
3510020,South Frontenac,Frontenac,public,B66206,Limestone District School Board,8,2530
3501005,South Glengarry,"Stormont, Dundas and Glengarry",catholic,B67172,Catholic District School Board of Eastern Ontario,3,990
3501005,South Glengarry,"Stormont, Dundas and Glengarry",public,B66192,Upper Canada District School Board,3,650
3540005,South Huron,Huron,catholic,B67016,Huron Perth Catholic District School Board,2,365
3540005,South Huron,Huron,public,B66010,Avon Maitland District School Board,4,1210
3549056,South River,Parry Sound,public,B28037,Near North District School Board,2,740
3501011,South Stormont,"Stormont, Dundas and Glengarry",catholic,B67172,Catholic District School Board of Eastern Ontario,1,250
3501011,South Stormont,"Stormont, Dundas and Glengarry",public,B66192,Upper Canada District School Board,3,535
3542005,Southgate,Grey,public,B66001,Bluewater District School Board,3,1180
3539005,Southwest Middlesex,Middlesex,catholic,B67032,London District Catholic School Board,1,100
3539005,Southwest Middlesex,Middlesex,public,B66044,Thames Valley District School Board,3,745
3534024,Southwold,Elgin,public,B66044,Thames Valley District School Board,1,690
3543009,Springwater,Simcoe,catholic,B67091,Simcoe Muskoka Catholic District School Board,1,240
3543009,Springwater,Simcoe,public,B66109,Simcoe County District School Board,5,2155
3526053,St. Catharines,Niagara,catholic,B67156,Niagara Catholic District School Board,16,5795
3526053,St. Catharines,Niagara,public,B66150,District School Board of Niagara,32,13200
3538003,St. Clair,Lambton,catholic,B67040,St Clair Catholic District School Board,1,125
3538003,St. Clair,Lambton,public,B66036,Lambton Kent District School Board,5,1150
3557008,St. Joseph,Algoma,public,B28010,Algoma District School Board,1,140
3531016,St. Marys,Perth,catholic,B67016,Huron Perth Catholic District School Board,1,205
3531016,St. Marys,Perth,public,B66010,Avon Maitland District School Board,3,1005
3534021,St. Thomas,Elgin,catholic,B67032,London District Catholic School Board,2,1485
3534021,St. Thomas,Elgin,public,B66044,Thames Valley District School Board,12,6045
3512020,Stirling-Rawdon,Hastings,public,B66222,Hastings & Prince Edward District School Board,1,690
